"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE ","52W H 
","52W L 
","365 D % CHNG 
 13-Nov-2020","30 D % CHNG 
 14-Oct-2021"
"NIFTY MIDSMALLCAP 400","11,210.45","11,245.30","11,181.45","11,184.15","11,241.05","56.90","0.51",570743764,"159,216,431,797.37","11,543.40","6,471.10","77.38","-1.18"
"LODHA","1,290.00","1,458.65","1,285.00","1,284.60","1,419.80","135.20","10.52",1416494,"1,957,155,594.86","1,458.65","422.60","-","7.31"
"SPICEJET","72.50","79.40","71.50","71.25","78.55","7.30","10.25",16327014,"1,253,588,134.92","108.00","54.75","30.85","-6.92"
"STLTECH","286.80","311.50","283.25","285.50","309.80","24.30","8.51",4480416,"1,359,044,585.28","318.00","144.20","95.35","1.03"
"THERMAX","1,626.00","1,774.00","1,606.00","1,628.10","1,756.00","127.90","7.86",753321,"1,291,049,063.01","1,774.00","792.00","106.76","17.32"
"INGERRAND","1,181.35","1,288.00","1,181.35","1,195.80","1,284.00","88.20","7.38",54088,"67,411,497.04","1,300.00","585.00","105.45","1.77"
"VARROC","277.50","299.40","277.50","276.40","294.90","18.50","6.69",1141220,"336,443,068.20","477.65","260.00","-6.38","-9.82"
"FINCABLES","554.00","598.00","551.00","550.95","585.00","34.05","6.18",2649800,"1,543,349,512.00","598.00","274.65","101.89","12.31"
"RAJESHEXPO","670.00","741.75","660.65","668.85","709.75","40.90","6.11",1187044,"849,959,115.32","741.75","447.50","46.58","3.44"
"BALAMINES","3,140.00","3,327.00","3,137.15","3,136.85","3,325.00","188.15","6.00",146243,"474,584,858.74","5,223.55","850.00","228.43","-29.74"
"VAIBHAVGBL","538.95","581.80","537.95","536.20","568.15","31.95","5.96",201790,"111,936,948.80","1,050.00","404.47","-74.04","-24.94"
"CHAMBLFERT","358.00","378.80","354.20","356.00","376.85","20.85","5.86",3447243,"1,283,236,206.75","451.00","177.45","96.25","-7.13"
"TCNSBRANDS","800.20","848.00","794.90","800.20","845.00","44.80","5.60",137275,"111,184,513.50","848.00","388.00","98.56","21.94"
"SUPRAJIT","431.15","474.90","430.50","430.05","452.75","22.70","5.28",4508949,"2,055,900,386.04","474.90","179.00","123.93","13.10"
"SCHNEIDER","113.20","118.45","112.20","112.60","118.40","5.80","5.15",447437,"51,652,127.28","147.15","75.55","49.63","-5.97"
"VTL","1,990.05","2,094.00","1,990.05","1,985.35","2,084.60","99.25","5.00",117641,"242,852,198.35","2,167.35","802.40","130.67","-2.35"
"TANLA","1,270.00","1,325.95","1,200.00","1,262.85","1,325.95","63.10","5.00",2339892,"2,834,404,775.28","1,338.90","414.95","235.51","36.90"
"TRIDENT","39.35","41.00","38.70","39.05","41.00","1.95","4.99",27755027,"1,110,756,180.54","43.35","7.40","424.16","1.56"
"LXCHEM","419.90","438.45","416.90","417.60","438.45","20.85","4.99",1204945,"519,885,569.70","628.00","143.25","-","-22.77"
"POONAWALLA","196.00","202.95","194.60","193.30","202.95","9.65","4.99",7857272,"1,564,068,564.32","202.95","35.75","-","19.25"
"TTML","72.00","72.65","71.70","69.20","72.65","3.45","4.99",2518582,"182,647,566.64","73.75","6.05","932.84","30.57"
"REDINGTON","146.55","154.20","144.50","145.00","152.05","7.05","4.86",6263460,"938,579,481.00","179.00","62.13","15.54","-5.38"
"KPITTECH","422.80","459.90","415.85","423.00","443.50","20.50","4.85",2278258,"1,022,482,190.40","459.90","99.40","313.29","24.61"
"CYIENT","1,086.75","1,142.70","1,084.85","1,079.90","1,132.00","52.10","4.82",310771,"350,568,334.26","1,292.00","426.00","154.39","-6.89"
"BSOFT","422.30","448.80","419.00","420.55","440.70","20.15","4.79",3963013,"1,741,546,062.85","457.80","177.20","131.90","-2.24"
"FSL","168.00","176.20","167.25","167.90","175.60","7.70","4.59",6010680,"1,041,951,378.00","242.85","66.50","126.43","-22.84"
"CAMS","3,035.00","3,160.00","3,017.40","3,000.30","3,127.20","126.90","4.23",424093,"1,325,163,397.10","4,067.40","1,315.95","130.63","-1.97"
"LEMONTREE","57.65","59.90","57.35","56.90","59.15","2.25","3.95",12225299,"719,214,340.17","59.90","27.00","86.56","3.64"
"MAHINDCIE","284.90","294.95","282.65","283.00","294.10","11.10","3.92",394444,"114,144,204.72","301.00","141.45","100.64","12.95"
"SUMICHEM","367.00","383.75","367.00","369.40","383.45","14.05","3.80",228104,"86,095,573.76","459.90","268.20","36.21","-11.77"
"ABCAPITAL","104.85","109.40","104.20","105.05","108.90","3.85","3.66",1486151,"157,858,959.22","139.70","76.00","36.61","-2.37"
"WELCORP","141.30","147.75","140.15","141.30","146.45","5.15","3.64",1465149,"210,908,198.55","165.90","101.50","39.28","-4.33"
"ALKYLAMINE","3,347.05","3,470.00","3,320.00","3,315.70","3,434.95","119.25","3.60",52863,"180,252,786.03","4,749.00","1,299.16","-1.58","-16.57"
"JAMNAAUTO","105.85","112.75","104.70","104.95","108.65","3.70","3.53",2416003,"263,368,487.03","112.75","48.85","118.19","6.12"
"BHARATFORG","780.00","810.80","776.35","777.35","804.65","27.30","3.51",2363987,"1,875,705,485.15","847.95","486.50","61.58","-2.95"
"BSE","1,501.90","1,549.95","1,501.90","1,490.80","1,539.10","48.30","3.24",1114106,"1,706,052,799.92","1,549.95","515.00","193.99","6.74"
"ERIS","784.30","809.80","778.75","780.15","805.10","24.95","3.20",83259,"66,946,896.72","863.00","473.50","54.93","-4.67"
"CRISIL","3,262.00","3,386.00","3,230.00","3,228.15","3,325.15","97.00","3.00",156031,"518,801,514.69","3,386.00","1,741.00","64.36","8.37"
"FORTIS","277.50","285.00","275.05","276.40","284.50","8.10","2.93",4255368,"1,198,822,272.96","303.80","136.50","94.79","0.71"
"VALIANTORG","1,219.00","1,249.50","1,205.20","1,208.60","1,243.95","35.35","2.92",21642,"26,597,585.16","1,991.00","1,121.00","-64.84","-22.29"
"SYNGENE","596.90","614.75","588.95","593.20","610.35","17.15","2.89",1352843,"818,280,616.98","700.00","490.50","4.94","-3.19"
"RADICO","1,080.00","1,144.50","1,080.00","1,093.60","1,125.00","31.40","2.87",454206,"509,764,477.92","1,214.80","422.00","142.32","-0.16"
"KEC","465.50","480.00","464.05","463.10","475.65","12.55","2.71",191642,"90,522,098.70","550.00","317.55","36.99","0.74"
"SONACOMS","695.80","711.70","692.50","690.30","709.00","18.70","2.71",1527137,"1,070,813,193.03","813.00","295.00","-","-8.59"
"NHPC","32.00","32.75","31.80","31.80","32.65","0.85","2.67",3743366,"120,461,517.88","37.05","20.40","54.37","2.91"
"SHILPAMED","571.95","595.00","568.90","570.15","585.05","14.90","2.61",142389,"82,924,505.82","670.40","311.60","29.82","-10.77"
"DIXON","5,444.60","5,597.95","5,361.05","5,410.55","5,550.00","139.45","2.58",282347,"1,551,070,421.03","21,499.00","3,345.15","-48.95","-1.83"
"JINDALSAW","106.30","109.55","105.65","106.10","108.70","2.60","2.45",706919,"76,425,013.09","147.60","65.20","64.37","-12.93"
"COFORGE","5,600.00","5,874.00","5,572.00","5,496.20","5,629.35","133.15","2.42",1184112,"6,791,095,460.16","6,030.00","2,272.35","138.52","-1.93"
"JSLHISAR","331.60","337.30","329.55","329.35","337.05","7.70","2.34",172804,"57,792,569.76","358.80","109.05","178.87","3.03"
"GARFIBRES","3,476.65","3,592.80","3,453.35","3,448.65","3,525.50","76.85","2.23",10118,"35,652,391.88","4,030.00","2,025.00","69.74","-10.26"
"SRTRANSFIN","1,617.80","1,656.40","1,608.10","1,616.60","1,651.80","35.20","2.18",705733,"1,151,833,886.63","1,696.40","848.80","84.53","16.84"
"SUZLON","7.00","7.15","6.90","6.95","7.10","0.15","2.16",18546781,"130,198,402.62","9.45","3.30","127.87","-1.42"
"TATAPOWER","242.15","247.50","241.50","241.65","246.80","5.15","2.13",32569412,"7,988,299,681.24","267.85","55.90","337.38","8.56"
"GUJALKALI","680.00","699.00","678.20","675.05","689.40","14.35","2.13",205174,"141,531,076.94","846.00","304.65","116.54","-18.03"
"BEML","1,594.00","1,630.00","1,594.00","1,591.30","1,624.75","33.45","2.10",104583,"168,790,687.02","1,700.00","616.25","160.93","-4.12"
"SIS","510.00","519.00","503.05","501.10","511.60","10.50","2.10",375222,"192,192,460.62","534.80","353.85","34.20","-1.15"
"CSBBANK","286.30","293.35","285.35","286.65","292.60","5.95","2.08",89639,"25,887,743.20","374.00","193.20","13.39","-10.25"
"INDIAMART","7,691.00","7,874.45","7,605.00","7,666.90","7,824.90","158.00","2.06",199069,"1,553,430,960.12","9,950.00","4,630.80","53.50","-18.69"
"CCL","406.70","413.00","400.30","401.15","409.35","8.20","2.04",609159,"248,634,337.44","494.80","226.35","65.83","-2.41"
"AUBANK","1,212.00","1,238.80","1,207.60","1,210.45","1,235.00","24.55","2.03",283881,"347,305,693.02","1,389.85","720.45","43.38","1.49"
"OBEROIRLTY","962.90","991.80","957.75","962.90","982.25","19.35","2.01",1145009,"1,125,383,545.74","1,051.90","437.00","122.97","0.68"
"JUBLINGREA","642.70","656.80","642.50","641.40","654.25","12.85","2.00",246615,"160,450,185.15","838.75","241.30","-","-19.13"
"SPARC","272.75","279.95","265.05","271.35","276.55","5.20","1.92",552236,"152,295,644.08","312.00","141.00","62.83","-7.61"
"RALLIS","266.75","271.85","265.10","265.10","270.15","5.05","1.90",157908,"42,548,310.60","362.60","243.85","8.20","-15.51"
"PAGEIND","40,780.00","41,775.00","40,570.05","40,728.80","41,500.00","771.20","1.89",21346,"884,084,293.56","41,775.00","21,660.30","85.77","8.99"
"POWERINDIA","2,566.25","2,600.00","2,525.00","2,537.15","2,584.95","47.80","1.88",34912,"89,927,726.08","2,798.00","935.00","160.94","-3.10"
"IRCTC","915.80","929.00","911.35","903.40","919.75","16.35","1.81",6522130,"6,009,621,024.60","1,279.26","267.29","-34.97","-83.46"
"GREAVESCOT","132.75","137.50","132.05","133.30","135.65","2.35","1.76",974759,"130,949,124.06","184.40","73.00","83.36","-4.99"
"ZENSARTECH","480.00","494.00","478.00","479.45","487.85","8.40","1.75",1074820,"525,640,721.00","587.00","192.50","143.75","-5.69"
"PHILIPCARB","227.50","236.00","226.05","227.50","231.45","3.95","1.74",1163112,"271,272,611.76","277.30","143.25","44.63","-8.98"
"PRSMJOHNSN","133.45","135.80","131.75","132.70","135.00","2.30","1.73",91606,"12,312,762.46","149.45","79.00","63.02","7.10"
"TV18BRDCST","44.75","45.90","44.35","44.95","45.70","0.75","1.67",5359877,"241,891,249.01","52.50","26.25","55.54","-1.53"
"EMAMILTD","529.45","539.80","529.40","529.45","538.05","8.60","1.62",247255,"132,541,042.75","621.80","377.35","39.40","-3.78"
"MAHLOG","755.00","772.50","742.05","748.90","760.45","11.55","1.54",80460,"61,250,175.00","821.00","370.05","92.22","-0.52"
"VIPIND","597.90","616.00","596.00","597.60","606.75","9.15","1.53",394002,"238,189,969.08","668.85","304.60","97.78","3.82"
"MASTEK","2,909.00","2,943.25","2,899.15","2,894.40","2,938.70","44.30","1.53",42851,"125,567,142.32","3,669.00","802.20","203.09","-10.27"
"HIKAL","510.00","523.30","507.45","507.45","514.80","7.35","1.45",112931,"58,238,516.70","742.00","143.00","181.06","-2.93"
"HATHWAY","21.15","21.40","21.00","21.05","21.35","0.30","1.43",1415008,"30,097,220.16","36.70","19.60","-25.35","-21.60"
"HAL","1,419.00","1,456.00","1,413.60","1,422.50","1,442.75","20.25","1.42",707242,"1,022,091,993.56","1,566.00","733.00","86.96","-1.47"
"NESCO","624.45","632.65","622.45","621.30","630.05","8.75","1.41",16235,"10,195,417.65","696.80","465.00","23.27","-6.85"
"NETWORK18","81.95","83.75","80.55","82.15","83.30","1.15","1.40",1427835,"117,710,717.40","96.70","33.60","135.39","4.32"
"ORIENTELEC","374.20","380.40","370.15","372.40","377.45","5.05","1.36",142922,"53,868,731.02","395.00","206.65","72.57","10.44"
"ZEEL","327.50","336.75","323.00","325.05","329.35","4.30","1.32",25131007,"8,347,515,285.12","362.90","166.80","68.73","1.63"
"NATIONALUM","100.00","101.65","99.80","99.75","101.05","1.30","1.30",11606781,"1,170,775,999.47","127.95","35.15","186.64","-7.30"
"INOXLEISUR","426.10","432.00","423.30","424.80","430.20","5.40","1.27",136932,"58,690,424.52","466.00","244.00","59.01","2.26"
"NILKAMAL","2,379.75","2,421.00","2,370.15","2,362.15","2,391.95","29.80","1.26",4326,"10,353,545.58","3,180.00","1,329.50","75.10","-11.78"
"STARCEMENT","100.00","101.90","100.00","100.00","101.25","1.25","1.25",75967,"7,678,744.36","120.00","75.35","16.55","-3.75"
"SUVENPHAR","516.40","523.30","510.05","516.40","522.80","6.40","1.24",73155,"37,842,349.95","590.00","321.25","56.53","-4.27"
"INDHOTEL","218.90","224.20","216.85","216.25","218.90","2.65","1.23",8464319,"1,865,028,048.46","230.49","91.02","94.47","-5.79"
"BRIGADE","500.95","510.40","497.50","502.85","509.00","6.15","1.22",127076,"64,306,809.80","528.80","206.10","145.65","8.85"
"DHANUKA","757.15","776.65","753.45","757.15","766.30","9.15","1.21",20986,"16,113,260.66","1,053.90","658.00","8.14","-8.24"
"KEI","1,034.10","1,050.00","1,023.05","1,027.60","1,039.95","12.35","1.20",234486,"243,157,292.28","1,056.80","344.85","195.29","9.35"
"GALAXYSURF","2,939.75","2,990.00","2,875.85","2,911.40","2,946.00","34.60","1.19",20546,"59,746,329.78","3,585.65","1,810.00","59.36","-14.48"
"INDIGOPNTS","2,283.00","2,310.00","2,276.20","2,283.00","2,310.00","27.00","1.18",8915,"20,489,968.55","3,329.95","2,220.25","-","-8.97"
"EIDPARRY","493.75","502.00","493.75","493.00","498.75","5.75","1.17",93429,"46,585,567.98","532.90","283.55","73.44","1.66"
"COROMANDEL","795.20","810.80","795.10","795.30","804.50","9.20","1.16",456913,"367,125,026.37","956.00","711.00","6.08","-7.87"
