Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","17,338.75","17,355.40","16,985.70","17,026.45","-509.80","-2.91","3,563.33","28,485.34","30,892.40","4,632.70","32.41","-6.80"
"CIPLA","892.00","976.05","890.65","965.00","65.05","7.23","144.59","1,380.90","1,005.00","726.50","31.89","6.34"
"DRREDDY","4,580.00","4,820.00","4,576.15","4,750.00","158.40","3.45","10.72","508.97","5,614.60","4,135.00","-1.17","1.80"
"DIVISLAB","4,770.00","5,077.70","4,756.75","4,940.00","140.20","2.92","15.71","775.37","5,425.10","3,153.30","42.39","-1.57"
"NESTLEIND","19,148.85","19,434.10","18,982.50","19,250.00","71.95","0.38","0.56","108.61","20,609.15","16,002.10","9.87","0.17"
"TCS","3,425.00","3,490.00","3,411.90","3,439.20","-6.70","-0.19","19.41","670.58","3,989.90","2,624.45","27.32","-1.25"
"BRITANNIA","3,560.00","3,635.10","3,533.95","3,566.60","-6.80","-0.19","3.73","133.23","4,153.00","3,317.30","0.30","-3.42"
"ASIANPAINT","3,101.00","3,167.35","3,091.00","3,138.00","-6.25","-0.20","10.29","322.53","3,505.00","2,117.15","45.66","5.66"
"HINDUNILVR","2,344.00","2,365.00","2,325.20","2,340.90","-8.15","-0.35","24.51","572.85","2,859.30","2,120.00","9.60","-3.94"
"POWERGRID","204.05","204.95","200.80","202.50","-1.75","-0.86","96.11","195.09","209.95","136.88","3.69","6.36"
"HCLTECH","1,120.00","1,126.00","1,103.30","1,111.65","-13.15","-1.17","22.07","246.06","1,377.75","814.35","34.79","-4.73"
"BAJAJ-AUTO","3,370.00","3,383.50","3,320.00","3,335.00","-56.70","-1.67","3.42","114.59","4,361.40","3,041.00","9.30","-12.05"
"COALINDIA","157.75","159.40","155.35","155.90","-2.65","-1.67","118.30","185.50","203.80","123.25","25.78","-10.94"
"INFY","1,702.55","1,718.35","1,684.00","1,689.55","-32.85","-1.91","44.94","764.67","1,848.00","1,091.00","51.44","-0.83"
"SUNPHARMA","775.00","798.90","762.00","767.25","-15.65","-2.00","54.33","424.05","851.00","502.30","51.57","-5.69"
"HDFCBANK","1,500.00","1,506.70","1,485.00","1,489.50","-36.45","-2.39","93.12","1,394.10","1,725.00","1,342.00","6.18","-9.88"
"WIPRO","632.00","634.40","619.65","621.30","-15.40","-2.42","41.39","259.37","739.85","346.25","77.51","-7.01"
"SBILIFE","1,154.00","1,154.00","1,105.25","1,130.85","-28.65","-2.47","23.16","262.43","1,273.90","825.20","33.19","-3.52"
"TECHM","1,544.00","1,550.00","1,510.15","1,519.00","-40.35","-2.59","15.22","232.97","1,630.00","846.70","76.17","-2.83"
"HEROMOTOCO","2,580.00","2,589.70","2,505.15","2,526.80","-67.90","-2.62","6.85","174.04","3,629.05","2,505.15","-16.02","-6.43"
"ULTRACEMCO","7,550.00","7,599.00","7,370.10","7,398.45","-210.35","-2.76","2.66","198.32","8,269.00","4,770.00","53.50","1.78"
"HDFCLIFE","685.00","689.00","667.10","669.75","-19.05","-2.77","22.37","151.40","775.65","617.40","0.70","-2.94"
"AXISBANK","669.00","674.90","660.45","661.00","-18.90","-2.78","102.53","684.00","866.90","568.40","10.19","-21.49"
"SHREECEM","26,450.00","26,539.90","25,812.00","25,900.00","-770.50","-2.89","0.30","76.94","32,048.00","22,531.00","9.29","-6.76"
"EICHERMOT","2,495.00","2,506.10","2,421.50","2,440.75","-79.65","-3.16","5.55","136.56","3,037.00","2,303.70","-5.95","-5.77"
"UPL","726.00","726.00","701.00","703.50","-23.80","-3.27","24.82","176.35","864.70","414.15","68.06","-1.37"
"ITC","228.90","230.05","223.10","223.60","-7.70","-3.33","270.27","610.54","265.30","192.40","15.35","-5.53"
"RELIANCE","2,467.80","2,477.60","2,401.50","2,405.10","-87.85","-3.52","72.75","1,770.19","2,751.35","1,830.00","23.48","-9.62"
"IOC","125.60","125.60","120.50","121.15","-4.50","-3.58","77.25","94.57","141.50","84.00","41.28","-7.87"
"KOTAKBANK","2,002.00","2,007.00","1,955.10","1,960.00","-75.10","-3.69","26.48","522.52","2,253.00","1,626.00","5.24","-11.35"
"LT","1,820.00","1,841.75","1,768.60","1,781.00","-68.90","-3.72","27.97","502.81","1,981.75","1,092.00","59.59","-0.85"
"BHARTIARTL","763.00","763.00","733.10","735.85","-29.30","-3.83","111.43","830.06","781.80","454.11","58.55","5.70"
"BAJAJFINSV","17,200.00","17,237.20","16,610.00","16,684.00","-684.85","-3.94","3.42","576.79","19,325.00","8,273.70","91.38","-9.10"
"M&M","885.00","885.00","843.00","855.05","-36.15","-4.06","39.34","338.08","979.00","660.25","18.77","-4.42"
"ICICIBANK","739.00","742.05","718.60","720.45","-30.60","-4.07","189.88","1,385.86","867.00","465.80","52.41","-13.14"
"SBIN","486.25","487.90","467.10","470.00","-20.55","-4.19","263.06","1,249.55","542.30","240.15","93.42","-8.30"
"HDFC","2,820.35","2,856.00","2,723.00","2,745.00","-122.75","-4.28","33.53","927.88","3,021.10","2,179.30","25.27","-5.72"
"TITAN","2,377.80","2,385.10","2,285.05","2,293.00","-104.80","-4.37","12.89","298.54","2,677.90","1,300.35","75.45","-6.59"
"GRASIM","1,757.30","1,757.85","1,679.00","1,685.80","-80.95","-4.58","7.48","127.84","1,893.00","840.05","99.95","-3.08"
"TATACONSUM","800.20","805.00","763.15","769.90","-37.90","-4.69","26.17","203.32","889.00","505.05","49.55","-4.82"
"ONGC","152.25","152.25","146.25","147.75","-7.35","-4.74","231.36","344.33","172.75","77.05","82.86","-9.41"
"NTPC","133.20","134.05","128.00","128.65","-6.55","-4.84","133.24","173.94","152.10","88.15","36.93","-10.16"
"BAJFINANCE","7,021.00","7,047.90","6,775.00","6,780.00","-345.80","-4.85","16.89","1,161.63","8,050.00","4,362.00","44.57","-13.69"
"TATASTEEL","1,157.90","1,159.50","1,106.25","1,110.25","-63.40","-5.40","106.46","1,200.79","1,534.50","539.50","105.13","-17.37"
"MARUTI","7,520.00","7,520.00","7,130.00","7,150.00","-422.50","-5.58","11.55","840.81","8,368.00","6,400.00","1.34","-2.02"
"BPCL","397.15","397.20","375.00","377.40","-22.70","-5.67","100.23","383.54","503.00","357.00","-1.22","-12.45"
"INDUSINDBK","951.00","956.95","898.00","899.95","-59.35","-6.19","67.46","622.74","1,242.00","789.00","5.25","-22.08"
"ADANIPORTS","750.00","766.00","713.25","715.00","-47.45","-6.22","72.20","532.63","901.00","384.40","79.22","-4.65"
"HINDALCO","441.80","442.70","414.70","417.70","-29.35","-6.57","148.26","631.93","551.85","220.35","86.93","-14.06"
"TATAMOTORS","486.00","486.75","458.00","459.40","-33.35","-6.77","517.88","2,430.36","536.70","156.70","167.95","-9.68"
"JSWSTEEL","668.25","672.55","624.25","630.00","-50.90","-7.48","89.22","574.61","776.50","336.00","86.25","-9.27"

